Symbol,Date,open,high,low,close,adjusted close,volume,dividend amount,Close_diff
MSFT,2021-04-16,254.71,261.0,254.62,260.74,250.7467,124563138,0.0,4.890000000000015
MSFT,2021-04-23,260.19,261.78,255.64,261.15,251.141,114067956,0.0,0.40999999999996817
MSFT,2021-04-30,261.66,263.19,249.0,252.18,242.5148,169214799,0.0,-8.96999999999997
MSFT,2021-05-07,253.4,254.35,244.69,252.46,242.7841,127807942,0.0,0.28000000000000114
MSFT,2021-05-14,250.87,251.73,238.07,248.15,238.6393,153151228,0.0,-4.310000000000002
MSFT,2021-05-21,246.55,248.33,238.6,245.17,236.3165,114541724,0.56,-2.980000000000018
MSFT,2021-05-28,247.785,252.94,247.51,249.68,240.6637,99588636,0.0,4.510000000000019
MSFT,2021-06-04,251.23,251.65,243.0,250.79,241.7336,93208820,0.0,1.1099999999999852
MSFT,2021-06-11,249.98,258.4868,249.81,257.89,248.5772,107035149,0.0,7.099999999999994
MSFT,2021-06-18,257.9,262.3,254.42,259.43,250.0616,128993727,0.0,1.5400000000000205
MSFT,2021-06-25,259.82,267.85,257.92,265.02,255.4497,117966870,0.0,5.589999999999975
MSFT,2021-07-02,266.185,278.0,265.91,277.65,267.6236,104384023,0.0,12.629999999999995
MSFT,2021-07-09,278.03,280.6945,274.3,277.94,267.9032,103360847,0.0,0.29000000000002046
MSFT,2021-07-16,279.157,284.1,276.58,280.75,270.6117,116956560,0.0,2.8100000000000023
MSFT,2021-07-23,278.9335,289.99,274.45,289.67,279.2096,129711825,0.0,8.920000000000016
MSFT,2021-07-30,289.0,290.15,282.95,284.91,274.6215,129074080,0.0,-4.759999999999991
MSFT,2021-08-06,286.36,289.63,283.74,289.46,279.0072,80827209,0.0,4.5499999999999545
MSFT,2021-08-13,289.75,292.9,285.2,292.85,282.2747,80543547,0.0,3.390000000000043
MSFT,2021-08-20,293.19,305.84,288.64,304.36,293.9342,135072369,0.56,11.509999999999991
MSFT,2021-08-27,303.245,305.65,296.83,299.72,289.4531,101283798,0.0,-4.639999999999986
MSFT,2021-09-03,301.115,305.19,300.18,301.14,290.8245,92659391,0.0,1.419999999999959
MSFT,2021-09-10,301.005,302.14,295.38,295.71,285.5805,71791265,0.0,-5.430000000000007
MSFT,2021-09-17,297.55,305.32,294.08,299.87,289.598,134785958,0.0,4.160000000000025
MSFT,2021-09-24,296.33,300.9,289.52,299.35,289.0958,120872685,0.0,-0.5199999999999818
MSFT,2021-10-01,296.14,296.47,281.29,289.1,279.1969,155541590,0.0,-10.25
MSFT,2021-10-08,287.4,296.6409,280.25,294.85,284.75,122462501,0.0,5.75
MSFT,2021-10-15,292.92,304.45,292.35,304.21,293.7893,113344507,0.0,9.359999999999957
MSFT,2021-10-22,303.57,311.09,302.69,309.16,298.5698,91315937,0.0,4.9500000000000455
MSFT,2021-10-29,309.36,332.0,306.46,331.62,320.2604,159314433,0.0,22.45999999999998
MSFT,2021-11-05,331.355,338.79,326.37,336.06,324.5483,120621826,0.0,4.439999999999998
MSFT,2021-11-12,337.3,338.72,329.92,336.72,325.1857,106622220,0.0,0.660000000000025
MSFT,2021-11-19,337.54,345.1,334.034,343.11,331.9626,101090157,0.62,6.389999999999986
MSFT,2021-11-26,344.62,349.67,328.12,329.68,318.9689,107337225,0.0,-13.430000000000007
MSFT,2021-12-03,334.94,339.28,318.03,323.01,312.5157,177395495,0.0,-6.670000000000016
MSFT,2021-12-10,323.95,343.0,319.23,342.54,331.4111,146125332,0.0,19.53000000000003
MSFT,2021-12-17,340.68,343.79,317.25,323.8,313.28,191737796,0.0,-18.74000000000001
MSFT,2021-12-23,320.05,336.39,317.57,334.69,323.8162,97516470,0.0,10.889999999999986
MSFT,2021-12-31,335.46,344.3,335.43,336.32,325.3932,84417803,0.0,1.6299999999999955
MSFT,2022-01-07,335.35,338.0,310.09,314.04,303.8371,174012812,0.0,-22.279999999999973
MSFT,2022-01-14,309.485,323.41,303.75,310.2,300.1218,193141391,0.0,-3.840000000000032
MSFT,2022-01-21,304.07,313.9093,295.61,296.03,286.4122,180568678,0.0,-14.170000000000016
MSFT,2022-01-28,292.2,308.5,276.05,308.26,298.2449,352537899,0.0,12.230000000000018
MSFT,2022-02-04,308.95,315.12,299.96,305.94,296.0002,202857381,0.0,-2.319999999999993
MSFT,2022-02-11,306.17,311.93,294.22,295.04,285.4544,176800964,0.0,-10.899999999999977
MSFT,2022-02-18,293.77,300.87,286.305,287.93,279.1521,160446684,0.62,-7.110000000000014
MSFT,2022-02-25,285.0,297.63,271.52,297.31,288.2461,168916893,0.0,9.379999999999995
MSFT,2022-03-04,294.31,303.13,287.165,289.86,281.0232,157402366,0.0,-7.449999999999989
MSFT,2022-03-11,288.53,289.69,270.0,280.07,271.5317,184358475,0.0,-9.79000000000002
MSFT,2022-03-18,280.34,301.0,275.82,300.43,291.271,175744631,0.0,20.360000000000014
MSFT,2022-03-25,298.89,305.5,294.9,303.68,294.4219,128192615,0.0,3.25
MSFT,2022-04-01,304.33,315.95,304.33,309.42,299.9869,148667745,0.0,5.740000000000009
MSFT,2022-04-08,310.09,315.11,296.28,296.97,287.9165,143204193,0.0,-12.449999999999989
MSFT,2022-04-14,291.79,292.61,279.32,279.83,271.299,115664768,0.0,-17.140000000000043
MSFT,2022-04-22,278.91,293.3,273.38,274.03,265.6758,124741446,0.0,-5.800000000000011
MSFT,2022-04-29,273.29,290.98,270.0,277.52,269.0594,211924047,0.0,3.490000000000009
MSFT,2022-05-06,277.71,290.88,271.27,274.73,266.3545,175633827,0.0,-2.7899999999999636
MSFT,2022-05-13,270.06,273.75,250.02,261.12,253.1594,221997169,0.0,-13.610000000000014
MSFT,2022-05-20,259.955,268.33,246.44,252.56,245.4579,164627282,0.62,-8.560000000000002
MSFT,2022-05-27,255.49,273.34,253.43,273.24,265.5563,142680141,0.0,20.680000000000007
MSFT,2022-06-03,272.53,277.69,261.6,270.02,262.4269,135187036,0.0,-3.2200000000000273
MSFT,2022-06-10,272.06,274.18,252.53,252.99,245.8758,120518929,0.0,-17.029999999999973
MSFT,2022-06-17,245.11,255.3,241.51,247.65,240.6859,184152944,0.0,-5.340000000000003
MSFT,2022-06-24,250.255,267.98,249.51,267.7,260.1721,115674192,0.0,20.049999999999983
MSFT,2022-07-01,268.205,268.3,252.9,259.58,252.2805,126633760,0.0,-8.120000000000005
MSFT,2022-07-08,256.16,269.055,254.74,267.66,260.1332,87314678,0.0,8.080000000000041
MSFT,2022-07-15,265.65,266.53,245.94,256.72,249.5009,139761854,0.0,-10.939999999999998
MSFT,2022-07-22,259.75,265.33,253.3,260.36,253.0385,113061843,0.0,3.6399999999999864
MSFT,2022-07-29,260.995,282.0,249.57,280.74,272.8454,172010083,0.0,20.379999999999995
MSFT,2022-08-05,277.82,283.8,272.38,282.91,274.9544,102685912,0.0,2.170000000000016
MSFT,2022-08-12,284.05,291.91,277.61,291.91,283.7013,109536514,0.0,9.0
MSFT,2022-08-19,291.0,294.18,285.56,286.15,278.6952,92198119,0.62,-5.760000000000048
MSFT,2022-08-26,282.08,282.46,267.98,268.09,261.1057,104858212,0.0,-18.060000000000002
MSFT,2022-09-02,265.85,267.4,254.47,256.06,249.3891,113799087,0.0,-12.029999999999973
MSFT,2022-09-09,256.2,265.23,251.94,264.46,257.5702,87823670,0.0,8.399999999999977
MSFT,2022-09-16,265.78,267.45,242.0627,244.74,238.364,147336678,0.0,-19.71999999999997
MSFT,2022-09-23,242.465,247.66,235.2,237.92,231.7217,147215927,0.0,-6.820000000000022
MSFT,2022-09-30,237.045,242.33,232.73,232.9,226.8324,146921666,0.0,-5.019999999999982
MSFT,2022-10-07,235.41,250.58,233.17,234.24,228.1375,142125397,0.0,1.3400000000000034
MSFT,2022-10-14,233.05,237.24,219.13,228.56,222.6055,154871905,0.0,-5.680000000000007
MSFT,2022-10-21,235.82,243.93,234.29,242.12,235.8122,122568305,0.0,13.560000000000002
MSFT,2022-10-28,243.76,251.04,225.78,235.87,229.7251,223443932,0.0,-6.25
MSFT,2022-11-04,233.76,235.74,213.431,221.39,215.6223,170779529,0.0,-14.480000000000018
MSFT,2022-11-11,221.99,247.99,221.28,247.11,240.6722,170431704,0.0,25.720000000000027
MSFT,2022-11-18,241.985,247.0,237.63,241.22,235.5966,137343796,0.68,-5.890000000000015
MSFT,2022-11-25,241.43,248.7,240.71,247.49,241.7204,74769633,0.0,6.27000000000001
MSFT,2022-12-02,246.08,256.12,238.21,255.02,249.0749,137930867,0.0,7.530000000000001
MSFT,2022-12-09,252.01,253.819,242.205,245.42,239.6987,109602043,0.0,-9.600000000000023
MSFT,2022-12-16,247.445,263.915,243.51,244.69,238.9857,229942973,0.0,-0.7299999999999898
MSFT,2022-12-23,244.86,245.615,233.87,238.73,233.1646,128396491,0.0,-5.960000000000008
MSFT,2022-12-30,238.7,241.92,234.17,239.82,234.2292,75854917,0.0,1.0900000000000034
MSFT,2023-01-06,243.08,245.75,219.35,224.93,219.6863,159562627,0.0,-14.889999999999986
MSFT,2023-01-13,226.45,239.9,226.41,239.23,233.653,131675747,0.0,14.299999999999983
MSFT,2023-01-20,237.97,242.38,230.68,240.22,234.6199,123872791,0.0,0.9900000000000091
MSFT,2023-01-27,241.1,249.83,230.9,248.16,242.3748,198648466,0.0,7.939999999999998
MSFT,2023-02-03,244.51,264.69,242.2,258.35,252.3272,152686042,0.0,10.190000000000026
MSFT,2023-02-10,257.44,276.76,254.78,263.1,256.9665,196239002,0.0,4.75
MSFT,2023-02-17,267.64,274.97,256.0,258.06,252.6804,170244679,0.68,-5.0400000000000205
